50000	0.782285562	0.418651876
70000	0.844429193	0.509203399
90000	1.101329343	0.676683487
110000	1.3247794	0.828342509
130000	1.592640607	0.997075671
150000	1.921197756	1.256770157
170000	2.570230312	1.432679526
190000	2.638745613	1.598558625
210000	2.896437842	1.763034802
230000	3.217233054	1.913211069
250000	3.546550338	2.146001036
270000	3.82653494	2.375529669
290000	4.050147823	2.430574413
310000	4.351918244	2.59179046
330000	4.61373776	2.781328634
350000	4.90444976	2.783950447
370000	4.81705492	2.800677518
390000	5.605559423	3.270540468
410000	5.704134341	3.438964661
430000	6.003672435	3.561707484
